bankrupt_stage_id;start_date;end_date;document_id;document_date;document_content_type;inn;case_id;effective_date;expiration_date;комметнарий
6;2020-06-10;2020-06-15;dcm-01;2020-06-10;попадает;7700000001;case-01;2020-06-10;2020-06-15;
12;2020-06-15;2020-06-25;dcm-02;2020-06-15;попадает;7700000001;case-01;2020-06-15;2020-06-25;
1;2020-10-25;NULL;dcm-03;2020-10-25;Попадает в выборку 1;7700000001;case-01;2020-10-25;2999-12-31;
12;2020-02-10;NULL;dcm-04;2020-02-10;Попадает в выборку 2;7700000002;case-02;2020-02-10;2999-12-31;
6;2019-11-29;2019-12-05;dcm-05;2019-11-29;попадает;7700000003;case-03;2019-11-29;2019-12-05;
12;2019-12-05;2019-12-15;dcm-06;2019-12-05;попадает;7700000003;case-03;2019-12-05;2019-12-15;
1;2019-12-15;2020-07-08;dcm-07;2019-12-15;попадает;7700000003;case-03;2019-12-15;2020-07-08;
4;2020-07-08;NULL;dcm-08;2020-07-08;Попадает в выборку 3;7700000003;case-03;2020-07-08;2999-12-31;
6;2020-05-05;NULL;dcm-09;2020-05-05;Попадает в выборку 4;7700000004;case-04;2020-05-05;2999-12-31;нет в CS
6;2019-10-01;2019-10-15;dcm-10;2019-10-01;попадает;7700000005;case-05;2019-10-01;2019-10-15;
12;2019-10-15;2019-11-15;dcm-11;2019-10-15;попадает;7700000005;case-05;2019-10-15;2019-11-15;
1;2019-11-15;2020-05-08;dcm-12;2019-11-15;попадает;7700000005;case-05;2019-11-15;2020-05-08;
3;2020-05-08;NULL;dcm-13;2020-05-08;Попадает в выборку 5;7700000005;case-05;2020-05-08;2999-12-31;
6;2019-06-20;2019-06-01;dcm-14;2019-06-20;попадает;7700000006;case-06;2019-06-20;2019-06-01;
12;2019-06-01;2019-07-01;dcm-15;2019-06-01;попадает;7700000006;case-06;2019-06-01;2019-07-01;
1;2019-07-01;2020-01-10;dcm-16;2019-07-01;попадает;7700000006;case-06;2019-07-01;2020-01-10;
2;2020-01-10;2020-09-01;dcm-17;2020-01-10;попадает;7700000006;case-06;2020-01-10;2020-09-01;
4;2020-09-01;NULL;dcm-18;2020-09-01;Попадает в выборку 6;7700000006;case-06;2020-09-01;2999-12-31;
6;2020-01-10;2020-01-15;dcm-19;2020-01-10;попадает;7700000007;case-07;2020-01-10;2020-01-15;
12;2020-01-15;2020-02-01;dcm-20;2020-01-15;попадает;7700000007;case-07;2020-01-15;2020-02-01;
1;2020-02-01;2020-10-25;dcm-21;2020-02-01;попадает;7700000007;case-07;2020-02-01;2020-10-25;
3;2020-10-25;NULL;dcm-22;2020-10-25;Попадает в выборку 7;7700000007;case-07;2020-10-25;2999-12-31;
6;2019-02-19;2019-06-01;dcm-23;2019-02-19;попадает;7700000008;case-08;2019-02-19;2019-06-01;
12;2019-06-01;2019-06-07;dcm-24;2019-06-01;попадает;7700000008;case-08;2019-06-01;2019-06-07;
1;2019-06-07;2019-10-11;dcm-25;2019-06-07;попадает;7700000008;case-08;2019-06-07;2019-10-11;
2;2019-10-11;2020-04-05;dcm-26;2019-10-11;попадает;7700000008;case-08;2019-10-11;2020-04-05;
3;2020-04-05;NULL;dcm-27;2020-04-05;Попадает в выборку 8;7700000008;case-08;2020-04-05;2999-12-31;
6;2020-01-03;NULL;dcm-28;2020-01-03;Попадает в выборку 9;7700000009;case-09;2020-01-03;2999-12-31;
6;2019-03-01;2019-03-10;dcm-29;2019-03-01;попадает;7700000010;case-10;2019-03-01;2019-03-10;
12;2019-03-10;2019-03-15;dcm-30;2019-03-10;попадает;7700000010;case-10;2019-03-10;2019-03-15;
1;2019-03-15;2019-08-30;dcm-31;2019-03-15;попадает;7700000010;case-10;2019-03-15;2019-08-30;
4;2019-08-30;2020-01-02;dcm-32;2019-08-30;попадает;7700000010;case-10;2019-09-30;2020-01-02;
10;2020-01-02;NULL;dcm-33;2020-01-02;Попадает в выборку 10;7700000010;case-10;2020-01-02;2999-12-31;
6;2019-02-01;2019-03-01;dcm-34;2019-02-01;не попадает;7700000011;case-11;2019-02-01;2019-03-01;
12;2019-03-01;2019-04-01;dcm-35;2019-03-01;не попадает;7700000011;case-11;2019-03-01;2019-04-01;
1;2019-04-01;2019-10-01;dcm-36;2019-04-01;не попадает;7700000011;case-11;2019-04-01;2019-10-01;
4;2019-10-01;2020-05-01;dcm-37;2019-10-01;не попадает;7700000011;case-11;2019-10-01;2020-05-01;
10;2020-05-01;2020-10-01;dcm-38;2020-05-01;не попадает;7700000011;case-11;2020-05-01;2020-10-01;
11;2020-10-01;NULL;dcm-39;2020-10-01;не попадает;7700000011;case-11;2020-10-01;2999-12-31;не попадает т.к. Stage_id=10 и End_date=!NULL
6;2019-01-15;2019-02-01;dcm-40;2019-01-15;не попадает;7700000012;case-12;2019-01-15;2019-02-01;
12;2019-02-01;2019-03-01;dcm-41;2019-02-01;не попадает;7700000012;case-12;2019-02-01;2019-03-01;
1;2019-03-01;2019-05-01;dcm-42;2019-03-01;не попадает;7700000012;case-12;2019-03-01;2019-05-01;
4;2019-05-01;2019-12-01;dcm-43;2019-05-01;не попадает;7700000012;case-12;2019-05-01;2019-12-01;
10;2019-12-01;NULL;dcm-44;2019-12-01;не попадает;7700000012;case-12;2019-12-01;2999-12-31;не попадает т.к. Start_date<2020-01-01
6;2019-08-08;NULL;dcm-45;2019-08-08;не попадает;7700000013;case-13;2019-08-08;2999-12-31;не попадает т.к. Start_date<2020-01-01
6;2020-03-03;NULL;dcm-46;2020-03-03;не попадает;7700000014;case-14;2020-03-03;2999-12-31;не попадает т.к. отсутствует в CS
6;2020-05-07;2020-09-20;dcm-47;2020-09-07;не попадает;7700000015;case-15;2020-09-07;2020-09-20;
12;2020-09-20;NULL;dcm-48;2020-09-20;должнен попасть ;7700000015;case-15;2020-09-20;2999-12-31;не попадает т.к. отсутствует в CS
6;2019-11-11;NULL;dcm-49;2019-11-11;не попадает;7700000016;case-16;2019-11-11;2999-12-31;не попадает т.к. Start_date<2020-01-01
6;2020-05-02;NULL;dcm-50;2019-08-07;не попадает;7700000017;case-17;2019-08-07;2999-12-31;не попадает т.к. отсутствует в CS
6;2020-02-18;2020-03-01;dcm-51;2020-02-18;не попадает;7700000018;case-18;2020-02-18;2020-03-01;
12;2020-03-01;NULL;dcm-52;2020-03-01;не попадает;7700000018;case-18;2020-03-01;2999-12-31;не попадает т.к. отсутствует в CS
6;2018-07-20;2018-08-01;dcm-53;2018-07-20;не попадает;7700000019;case-19;2018-07-20;2018-08-01;
12;2018-08-01;2018-08-15;dcm-54;2018-08-01;не попадает;7700000019;case-19;2018-08-01;2018-08-15;
1;2018-08-15;2019-03-01;dcm-55;2018-08-15;не попадает;7700000019;case-19;2018-08-15;2019-03-01;
2;2019-03-01;2020-01-01;dcm-56;2019-03-01;не попадает;7700000019;case-19;2019-03-01;2020-01-01;
3;2020-01-01;2020-05-01;dcm-57;2020-01-01;не попадает;7700000019;case-19;2020-01-01;2020-05-01;
4;2020-05-01;2020-10-10;dcm-58;2020-05-01;не попадает;7700000019;case-19;2020-05-01;2020-10-10;
8;2020-10-10;NULL;dcm-59;2020-10-10;не попадает;7700000019;case-19;2020-10-10;2999-12-31;не попадает т.к. end_date!=NULL
6;2020-01-05;NULL;dcm-60;2020-01-05;не попадает;7700000020;case-20;2020-01-10;2999-12-31;не попадает т.к. отсутствует в CS
1;2020-03-03;NULL;dcm-61;2020-06-06;не попадает;7700000021;case-21;2020-15-09;2999-12-32;Не попадает по условию CA
6;2020-10-01;NULL;dcm-62;2020-10-01;не попадает;7700000022;case-22;2020-10-21;2999-12-31;Не попадает по условию CA